id,language,set,key,text,created,updated,delete
68,german,retailer,"retailer products table tooltips packs","Dies bestimmt, wie viele Packs Sie kaufen möchten. Packs enthalten eine oder mehrere Einzelhandelseinheiten.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
69,german,retailer,"retailer products table tooltips price","Dies ist ein repräsentativer Selbstkostenpreis und kann Ihre tatsächliche Rechnung widerspiegeln oder nicht","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
70,german,retailer,"retailer products table tooltips qty","Dies bestimmt die tatsächliche Menge der einzelnen Einzelhandelseinheiten, die Sie kaufen möchten.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
71,german,retailer,"retailer products table tooltips rating","Diese Bewertung von A-D ist ein Indikator dafür, wie gut ein einzelner Titel im Verhältnis zu den anderen Titeln auf dem Display verkauft wird (A ist am besten)","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
72,german,retailer,"retailer register help passwords","Geben Sie nur Kennwörter ein, wenn Sie sie ändern möchten.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
73,german,retailer,"retailer register help_text","Nutzen Sie bitte Ihre Kundennummer um sich in unserem Online-Shop neu zu registrieren. Anschließend vergeben Sie bitte ein Passwort.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
74,german,retailer,"retailer register msg account_verified_failed","Die Kontodetails konnten nicht überprüft werden","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
75,german,retailer,"retailer register msg email_verify","Sie müssen Ihre E-Mail-Adresse bestätigen, bevor Sie sich anmelden können.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
76,german,retailer,"retailer register msg validate_success","Die Registrierung ist erfolgreich abgeschlossen. Los gehts!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
77,german,retailer,"retailer register msg verify_failed","Wir können Ihr Konto mit den von Ihnen angegebenen Details nicht automatisch bestätigen. Bitte füllen Sie das folgende Formular aus und ein Mitglied unseres Teams wird sich mit Ihnen in Verbindung setzen.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
78,german,retailer,"retailer register msg verify_failed_failed","Bitte überprüfen Sie das Formular und versuchen Sie es erneut","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
79,german,retailer,"retailer register verify",Überprüfen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
80,german,retailer,"retailer welcome your_agent","Ihr Ansprechpartner im Außendienst","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
81,german,retailer,"retailer products table infoPostFix",,"2019-11-15 16:22:22","2024-02-21 17:01:26",NULL
82,german,core,"core admin title admin",Administration,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
83,german,core,"core button cancel",Stornieren,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
84,german,core,"core button save",Speichern,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
85,german,core,"core input date_from","Stammen aus","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
86,german,core,"core input date_to","Datum bis","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
87,german,core,"core name",Name,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
88,german,core,"core settings",Einstellungen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
89,german,users,"users error edit_profile_failed","Dein Profil konnte nicht geändert werden!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
90,german,resources,"resources col file_size",Dateigröße,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
91,german,resources,"resources title searched_for","Suchergebnisse für","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
92,german,retailer,"retailer choose_distributor","Bitte wählen Sie Ihren Händler","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
93,german,retailer,"retailer cart label coupon","Haben Sie einen Gutschein?","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
94,german,retailer,"retailer cart msg coupon_invalid","Der Gutschein ist ungültig, abgelaufen oder erfüllt nicht die erforderlichen Bedingungen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
95,german,retailer,"retailer cart msg coupon_applied","Coupon %s wird zurzeit angewendet, wodurch Sie% s sparen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
96,german,core,"core error add_failed","%s konnte nicht hinzugefügt werden!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
97,german,core,"core error delete","%s konnte nicht gelöscht werden!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
98,german,core,"core error edit_failed","%s konnte nicht geändert werden!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
99,german,core,"core button return_home","Nach Hause zurückkehren","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
100,german,core,"core input select",wählen...,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
101,german,core,"core admin button add",Hinzufügen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
102,german,core,"core admin button close",Schließen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
103,german,core,"core admin button reset",Zurücksetzen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
104,german,core,"core admin button delete",Löschen,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
105,german,core,"core admin tooltip filter_reset","Löschen Sie alle Ihre Filter und Sortieren.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
106,german,core,"core admin msg add_success","%s wurde erfolgreich hinzugefügt!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
107,german,core,"core admin msg delete","Sie haben %s erfolgreich gelöscht!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
108,german,core,"core admin msg delete_confirm","Möchten Sie wirklich %s löschen? Das kann nicht rückgängig gemacht werden.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
109,german,core,"core admin msg edit_success","%s wurde erfolgreich geändert!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
110,german,agents_emails,"agent_app email email_new_agent_order_buddy","Es wurde eine neue Bestellung durch %1$s (%2$s) für %3$s, %4$s (%5$s) generiert. Bestelldetails s.u.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
111,german,agents_emails,"agent_app email email_new_agent_order_agent","Es wurde eine neue Bestellung für %3$s, %4$s (%5$s) durch Sie generiert. Bestelldetails s.u.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
112,german,agents_emails,"agent_app email email_new_agent_order_customer","Es wurde eine neue Bestellung von %1$s (%2$s) für Sie generiert. Bestelldetails s.u.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
113,german,agents_emails,"agent_app email application_form","Neukunde Kundendatenerfassungsbogen","2019-11-15 16:22:22","2024-10-17 13:08:00",NULL
114,german,agents_emails,"agent_app email address",Straße,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
115,german,agents_emails,"agent_app email address_1",Straße,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
116,german,agents_emails,"agent_app email email_new_brochure_order_alternative",,"2019-11-15 16:22:22","2024-06-06 13:07:02",NULL
117,german,agents_emails,"agent_app email email_new_enquiry_brochures_alternative",,"2019-11-15 16:22:22","2024-06-06 13:07:02",NULL
118,german,users,"users error edit profile failed","Dein Profil konnte nicht geÃ¤ndert werden!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
119,french,core,"core button return_home","Rentrer à la maison","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
120,french,core,"core error add_failed","%s n'a pas pu être ajouté!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
121,french,core,"core error delete","%s n'a pas pu être supprimé!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
122,french,core,"core error direct_access_forbidden","Les accès directs sont interdits!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
123,french,core,"core error edit_failed","%s n'a pas pu être modifié!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
124,french,core,"core error no_results","Aucun résultat trouvé!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
125,french,core,"core error page_not_found","Page non trouvée","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
126,french,core,"core error session_language","Un problème est survenu lors de la définition de la langue!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
127,french,core,"core input created_from","Créé à partir de","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
128,french,core,"core input created_to","Créé pour","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
129,french,core,"core input date_to","Date à","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
130,french,core,"core input select",sélectionner...,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
131,french,core,"core label rows","%s rangée (s)","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
132,french,core,"core name",prénom,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
133,french,core,"core settings",Réglages,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
134,french,core,"core text 404_error","Vous avez demandé une page qui n'existe pas.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
135,french,users,"users email forgot_password password_reset_intro","Votre mot de passe à %s a été réinitialisé. Cliquez sur le lien ci-dessous pour vous connecter avec votre nouveau mot de passe:","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
136,french,users,"users email forgot_password password_reset_line_1","Une fois connecté, veillez à changer votre mot de passe pour quelque chose dont vous vous souviendrez.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
137,french,users,"users email forgot_password password_reset_title","Réinitialisation du mot de passe pour %s","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
138,french,users,"users error edit_profile_failed","Votre profil n'a pas pu être modifié!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
139,french,users,"users error email_exists","L'email %s existe déjà!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
140,french,users,"users error forgot_password password_reset_failed","Un problème est survenu lors de la réinitialisation de votre mot de passe. Veuillez réessayer.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
141,french,users,"users error too_many_login_attempts","Vous avez trop essayé de vous connecter trop rapidement. Veuillez patienter%s secondes et réessayer.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
142,french,users,"users error username_exists","Le nom d'utilisateur %s existe déjà!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
143,french,users,"users forgot_password","Mot de passe oublié","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
144,french,users,"users forgot_password button reset_password","réinitialiser le mot de passe","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
145,french,users,"users forgot_password help_text","Entrez l'adresse email associée à votre compte.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
146,french,users,"users forgot_password input email_address","Adresse électronique","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
147,french,users,"users input password_repeat","Répéter le mot de passe","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
148,french,users,"users link forgot_password","Mot de passe oublié?","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
149,french,users,"users login input email_address","Adresse électronique","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
150,french,users,"users login title login","Connectez-vous à votre compte en ligne","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
151,french,users,"users msg edit_profile_success","Votre profil a été modifié avec succès!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
152,french,users,"users msg password_reset_success","Votre mot de passe a été réinitialisé, %s! S'il vous plaît vérifier votre email pour votre nouveau mot de passe temporaire.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
153,french,users,"users welcome title","Bienvenue à %s","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
154,dutch,resources,"resources col date_uploaded","Datum geüpload","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
155,french,resources,"resources breadcrumb search_results","Résultats de la recherche","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
156,french,core,"resources button resources","Système de ressources","2019-11-15 16:22:22","2023-10-18 10:41:54",NULL
157,french,resources,"resources col date_uploaded","Date de téléchargement","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
158,french,resources,"resources col download",Télécharger,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
159,french,resources,"resources title resources","Système de ressources","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
160,french,resources,"resources title searched_for","Résultats de la recherche pour %s","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
161,french,resources,"resources tooltip download_selected","Télécharger tous les fichiers sélectionnés au format zip","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
162,fench,agents_emails,"agent_app email company_name","Nom de société","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
163,fench,agents_emails,"agent_app email customer_details","Détails du client","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
164,fench,agents_emails,"agent_app email deal_removed","Deal à enlever","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
165,fench,agents_emails,"agent_app email discount_AVH","Aide à l'achat pour l'affichage","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
166,fench,agents_emails,"agent_app email discount_reason","Raison de la réduction","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
167,fench,agents_emails,"agent_app email dob","Adresse électronique","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
168,fench,agents_emails,"agent_app email email","Adresse électronique","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
169,fench,agents_emails,"agent_app email email_address","Adresse électronique","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
170,fench,agents_emails,"agent_app email email_manager","Adresse électronique manager","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
171,fench,agents_emails,"agent_app email email_new_agent_order_agent","Une nouvelle commande a été passée par vous, pour %3$s, %4$s ( %5$s) Détails de la commande ci-dessous;","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
172,fench,agents_emails,"agent_app email email_new_agent_order_buddy","Une nouvelle commande a été passée par %1$s ( %2$s), pour %3$s, %4$s ( %5$s). Détails de la commande ci-dessous;","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
173,fench,agents_emails,"agent_app email email_new_agent_order_customer","Une nouvelle commande a été passée pour vous par %1$s ( %2$s). Détails de la commande ci-dessous;","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
174,fench,agents_emails,"agent_app email email_new_brochure_order_alternative","Alternativement, vous pouvez télécharger via ces liens:","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
175,fench,agents_emails,"agent_app email email_new_brochure_order_brochures","Si les brochures demandées ne sont pas trop volumineuses, elles seront jointes à cet email.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
176,fench,agents_emails,"agent_app email email_new_enquiry_brochures","Les brochures demandées sont attachés à ce mail.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
177,fench,agents_emails,"agent_app email email_new_enquiry_brochures_alternative","Alternativement, vous pouvez télécharger via ces liens:","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
178,fench,agents_emails,"agent_app email email_order","Adresse électronique commande","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
179,fench,agents_emails,"agent_app email email_payable","Adresse électronique Facture","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
180,fench,agents_emails,"agent_app email fulfilment_date","Envoi préféré","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
181,fench,agents_emails,"agent_app email invoice_details","Détails de la facture","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
182,fench,agents_emails,"agent_app email invoice_details_different","Détails de la facture différents?","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
183,fench,agents_emails,"agent_app email item_breakdown","Détail par l'article","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
184,fench,agents_emails,"agent_app email market_segment","Segment de marché","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
185,fench,agents_emails,"agent_app email market_sub_segment","Subsegment de marché","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
186,fench,agents_emails,"agent_app email name",Prénom,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
187,fench,agents_emails,"agent_app email new_application","Un nouveau formulaire de client a été soumis. Veuillez la trouver jointe à cet e-mail au format pdf.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
188,fench,agents_emails,"agent_app email newsletter_confirm_line_1","Vous serez informé en premier de nos nouveauz articles","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
189,fench,agents_emails,"agent_app email newsletter_confirm_line_2","Vous pouvez vous désinscrire de notre newsletter à tout moment via un lien privilégié.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
190,fench,agents_emails,"agent_app email order_details","Détails de la commande","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
191,fench,agents_emails,"agent_app email preferred_delivery","Envoi préféré","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
192,fench,agents_emails,"agent_app email proprietors_details","Détails du propriétaire","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
193,fench,agents_emails,"agent_app email qty",Qté,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
194,fench,agents_emails,"agent_app email store_details","Détails du magasin","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
195,fench,agents_emails,"agent_app email store_phone",Téléphone,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
196,fench,agents_emails,"agent_app email subject email_new_agent_order_buddy","Commande d'agent reçue","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
197,fench,agents_emails,"agent_app email tax_number","Numéro de TVA","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
198,fench,agents_emails,"agent_app email telephone",Téléphone,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
